zip,type,primary_city,state,country,latitude,longitude
50323,STANDARD,Urbandale,IA,US,41.63,-93.79
50324,STANDARD,Windsor Heights,IA,US,41.6,-93.71
50325,STANDARD,Clive,IA,US,41.61,-93.8
50327,STANDARD,Pleasant Hill,IA,US,41.58,-93.49
50328,UNIQUE,Des Moines,IA,US,41.57,-93.61
50329,UNIQUE,Des Moines,IA,US,41.57,-93.61
50330,UNIQUE,Des Moines,IA,US,41.57,-93.61
50331,UNIQUE,Des Moines,IA,US,41.57,-93.61
50332,UNIQUE,Des Moines,IA,US,41.57,-93.61
50333,PO BOX,Des Moines,IA,US,41.57,-93.61
50334,UNIQUE,Des Moines,IA,US,41.57,-93.61
